epoch,accuracy,loss,val_accuracy,val_loss
0,0.3650705814361572,1.3317724466323853,0.4265129566192627,1.2883782386779785
1,0.6451702117919922,1.0087671279907227,0.6484149694442749,0.9309677481651306
2,0.79213947057724,0.5923913717269897,0.7175792455673218,0.7883725762367249
3,0.8466648459434509,0.42265504598617554,0.7118155360221863,0.78645920753479
4,0.8826460242271423,0.33984023332595825,0.6974063515663147,0.8328933119773865
5,0.9009133577346802,0.2752437889575958,0.6974063515663147,0.8628011345863342
6,0.9258233904838562,0.22716577351093292,0.6916426420211792,0.9200305938720703
7,0.9360641837120056,0.19161398708820343,0.6829971075057983,1.0417418479919434
8,0.9504566788673401,0.1655791848897934,0.6974063515663147,1.0473694801330566
9,0.9562690258026123,0.1470186561346054,0.6829971075057983,1.1272809505462646
10,0.9634652733802795,0.12764236330986023,0.6974063515663147,1.1386730670928955
11,0.9676169157028198,0.11424891650676727,0.6829971075057983,1.1901662349700928
12,0.9684472680091858,0.10152123123407364,0.7031700015068054,1.2508418560028076
13,0.9701079726219177,0.09664007276296616,0.6858789920806885,1.2819383144378662
14,0.973706066608429,0.09025870263576508,0.6858789920806885,1.3428922891616821
15,0.973706066608429,0.08256343007087708,0.6829971075057983,1.400045394897461
16,0.9748131632804871,0.08346500247716904,0.6829971075057983,1.3920351266860962
17,0.9748131632804871,0.07633083313703537,0.680115282535553,1.4482221603393555
18,0.9761970639228821,0.07379429042339325,0.6829971075057983,1.4529755115509033
19,0.9778577089309692,0.07122217863798141,0.6858789920806885,1.4640594720840454
20,0.976473867893219,0.06712696701288223,0.6685879230499268,1.5342340469360352
21,0.9767506122589111,0.06939639896154404,0.6743515729904175,1.544197916984558
22,0.9773041605949402,0.06768517941236496,0.6858789920806885,1.535414457321167
23,0.9767506122589111,0.06343737989664078,0.6916426420211792,1.5988973379135132
24,0.9773041605949402,0.061824873089790344,0.680115282535553,1.557539463043213
